Idx,
533,15.67
534,16.798
535,18.063
536,22.625
537,25.327
538,23.581
539,23.893
540,23.397
541,22.423
542,21.254
543,20.063
544,20.196
545,22.13
546,23.007
547,23.686
548,24.039
549,22.367
550,24.685
551,24.515
552,20.832
553,18.54
554,18
555,17.463
556,17.155
557,16.524
558,17.342
559,18.677
560,23.247
561,25.996
562,25.798
563,25.667
564,25.707
565,24.812
566,23.126
567,21.7
568,21.658
569,23.115
570,26.193
571,26.284
572,26.328
573,25.431
574,25.609
575,23.974
576,20.561
577,17.023
578,13.704
579,12.996
580,13.391
581,14.623
582,15.103
583,14.157
584,16.268
585,19.684
586,22.731
587,24.055
588,24.496
589,23.052
590,21.852
591,20.241
592,19.417
593,20.176
594,21.554
595,20.935
596,19.987
597,17.765
598,21.99
599,20.697
600,18.419
601,15.826
602,14.657
603,14.253
604,12.859
605,14.678
606,14.552
607,13.962
608,16.129
609,18.287
610,21.03
611,23.182
612,23.103
613,22.046
614,19.595
615,15.684
616,15.528
617,16.061
618,18.722
619,19.536
620,23.51
621,24.239
622,26.873
623,22.934
624,18.579
625,15.186
626,13.921
627,14.944
628,14.928
629,15.434
630,14.837
631,17.07
632,22.396
633,26.095
634,25.083
635,25.904
636,24.974
637,24.789
638,23.502
639,22.724
640,22.857
641,23.778
642,30.593
643,31.884
644,31.493
645,29.481
646,30.692
647,24.792
648,21.513
649,18.289
650,14.965
651,14.052
652,13.81
653,11.91
654,12.351
655,15.143
656,22.469
657,26.371
658,24.026
659,24.256
660,21.795
661,21.298
662,20.919
663,25.169
664,20.815
665,24.099
666,25.296
667,26.164
668,27.235
669,29.989
670,31.404
671,27.101
672,21.68
673,19.364
674,16.112
675,14.055
676,17.176
677,16.713
678,16.719
679,17.51
680,23.355
681,24.156
682,23.109
683,25.556
684,24.399
685,24.719
686,23.86
687,22.518
688,24.391
689,26.08
690,26.75
691,27.808
692,28.737
693,28.58
694,29.919
695,29.346
696,24.325
697,21.127
698,19.233
699,19.254
700,18.556
701,17.968
702,16.994
703,18.808
704,24.603
705,25.807
706,24.718
707,24.661
708,26.551
709,27.483
710,27.759
711,26.035
712,25.539
713,28.617
714,27.646
715,25.328
716,27.155
717,27.097
718,28.397
719,27.786
720,23.733
721,20.693
722,18.441
723,18.64
724,17.962
725,17.723
726,18.213
727,20.068
728,25.074
729,27.371
730,26.984
731,27.894
732,27.148
733,26.24
734,25.871
735,25.076
736,24.031
737,23.655
738,24.286
739,23.877
740,24.956
741,24.148
742,25.471
743,25.56
744,22.451
745,20.331
746,18.545
747,17.984
748,17.611
749,17.948
750,16.982
751,16.191
752,17.941
753,21.319
754,21.59
755,22.787
756,21.925
757,21.009
758,20.21
759,18.866
760,18.942
761,19.263
762,20.252
763,18.562
764,20.98
765,20.914
766,21.457
767,20.272
768,18.41
769,16.052
770,13.793
771,12.607
772,13.47
773,13.401
774,12.66
775,10.919
776,10.225
777,10.85
778,14.19
779,18.888
780,19.976
781,22.351
782,24.938
783,24.729
784,26.221
785,27.884
786,28.917
787,28.49
788,29.211
789,27.817
790,27.359
791,26.206
792,23.542
793,20.115
794,17.544
795,16.817
796,13.71
797,11.012
798,11.082
799,10.481
800,13.704
801,17.797
802,19.331
803,23.923
804,23.431
805,23.312
806,22.718
807,21.962
808,20.371
809,22.974
810,24.122
811,23.586
812,25.465
813,26.345
814,27.858
815,27.406
816,23.439
817,20.444
818,18.379
819,17.7
820,17.499
821,16.634
822,15.549
823,17.744
824,21.128
825,21.097
826,20.633
827,22.189
828,23.126
829,22.917
830,22.968
831,24.71
832,27.404
833,27.848
834,27
835,26.88
836,26.914
837,25.324
838,28.509
839,26.056
840,21.907
841,18.236
842,15.327
843,13.659
844,15.339
845,17.049
846,16.75
847,20.358
848,26.118
849,29.248
850,29.276
851,30.48
852,30.099
853,29.92
854,28.259
855,26.621
856,24.645
857,28.21
858,28.82
859,27.472
860,29.769
861,29.404
862,26.262
863,22.99
864,18.203
865,16.273
866,13.893
867,14.354
868,13.733
869,14.315
870,15.543
871,18.532
872,23.438
873,25.332
874,23.604
875,23.452
876,22.928
877,24.256
878,21.782
879,21.074
880,21.369
881,23.553
882,25.493
883,24.429
884,25.016
885,25.558
886,27.65
887,28.187
888,25.15
889,22.382
890,20.475
891,20.318
892,19.795
893,19.34
894,19.331
895,21.104
896,26.192
897,27.705
898,27.724
899,27.555
900,27.11
901,26.85
902,25.636
903,24.082
904,23.968
905,26.485
906,27.881
907,25.542
908,26.109
909,25.589
910,25.804
911,24.395
912,20.392
913,16.468
914,13.605
915,11.023
916,10.447
917,11.958
918,14.628
919,14.863
920,16.418
921,20.611
922,24.035
923,26.676
924,26.009
925,25.902
926,25.083
927,23.724
928,21.274
929,19.396
930,16.813
931,19.319
932,19.053
933,20.532
934,21.225
935,22.813
936,20.835
937,19.053
938,17.376
939,14.825
940,13.522
941,14.155
942,13.763
943,12.829
944,14.078
945,15.868
946,17.258
947,19.814
948,16.687
949,18.775
950,16.621
951,15.697
952,15.451
953,16.533
954,17.682
955,20.408
956,21.931
957,21.453
958,22.191
959,19.374
960,15.943
961,12.293
962,11.675
963,13.865
964,13.728
965,14.142
966,14.684
967,16.765
968,20.324
969,22.321
970,20.117
971,20.556
972,20.279
973,21.15
974,21.139
975,20.13
976,16.482
977,18.7
978,20.543
979,20.102
980,22.863
981,20.405
982,22.232
983,21.844
984,16.137
985,10.702
986,8.776
987,8.558
988,8.927
989,8.238
990,8.238
991,11.327
992,15.937
993,17.475
994,17.834
995,18.848
996,19.078
997,19.033
998,18.698
999,18.335
1000,18.536
1001,20.792
1002,22.836
1003,23.17
1004,23.471
1005,22.07
1006,21.516
1007,21.874
1008,20.478
1009,15.521
1010,15.141
1011,15.739
1012,15.602
1013,15.449
1014,15.384
1015,18.776
1016,24.518
1017,27.204
1018,28.006
1019,29.114
1020,28.874
1021,29.054
1022,28.54
1023,28
1024,26.752
1025,28.189
1026,29.358
1027,28.647
1028,29.103
1029,27.521
1030,27.437
1031,26.345
1032,22.542
1033,19.764
1034,18.362
1035,17.731
1036,17.241
1037,16.62
1038,16.412
1039,19.201
1040,24.081
1041,25.267
1042,24.964
1043,26.543
1044,26.599
1045,25.765
1046,23.468
1047,22.162
1048,21.81
1049,22.706
1050,24.34
1051,24.794
1052,26.137
1053,26.032
1054,26.174
1055,26.979
1056,24.285
1057,20.829
1058,18.639
1059,17.959
1060,17.124
1061,16.798
1062,16.105
1063,18.928
1064,23.889
1065,25.644
1066,25.298
1067,25.001
1068,24.093
1069,23.714
1070,22.642
1071,21.278
1072,22.714
1073,24.955
1074,24.903
1075,22.832
1076,22.37
1077,21.569
1078,20.763
1079,19.174
1080,17.181
1081,14.091
1082,12.094
1083,10.491
1084,12.003
1085,13.212
1086,14.14
1087,14.468
1088,16.126
1089,16.141
1090,17.187
1091,20.639
1092,19.253
1093,18.386
1094,17.031
1095,15.763
1096,15.468
1097,16.182
1098,17.48
1099,18.724
1100,21.541
1101,18.153
1102,16.64
1103,17.558
1104,16.926
1105,16.006
1106,12.383
1107,10.1
1108,9.473
1109,10.297
1110,8.685
1111,9.351
1112,11.422
1113,11.833
1114,14.491
1115,16.973
1116,17.891
1117,17.983
1118,18.554
1119,18.249
1120,16.47
1121,17.646
1122,20.271
1123,21.852
1124,22.796
1125,23.03
1126,22.702
1127,23.642
1128,20.521
1129,16.687
1130,15.504
1131,13.113
1132,13.178
1133,13.273
1134,14.054
1135,17.699
1136,22.221
1137,23.901
1138,24.832
1139,28.488
1140,27.956
1141,26.874
1142,26.207
1143,24.939
1144,24.716
1145,26.598
1146,26.408
1147,26.406
1148,29.081
1149,28.183
1150,28.094
1151,26.828
1152,22.021
1153,19.659
1154,18.445
1155,18.057
1156,17.714
1157,17.259
1158,17.448
1159,19.914
1160,25.068
1161,26.563
1162,26.076
1163,27.206
1164,26.13
1165,25.019
1166,22.52
1167,20.688
1168,19.241
1169,21.198
1170,20.847
1171,19.376
1172,22.152
1173,22.376
1174,21.704
1175,21.242
1176,18.768
1177,15.405
1178,13.914
1179,13.424
1180,13.573
1181,14.549
1182,15.62
1183,18.283
1184,22.674
1185,23.952
1186,23.228
1187,24.23
1188,24.142
1189,24.055
1190,23.877
1191,21.956
1192,19.471
1193,21.306
1194,22.826
1195,22.29
1196,22.252
1197,22.937
1198,23.51
1199,23.689
1200,19.865
1201,16.241
1202,12.222
1203,11.316
1204,10.514
1205,12
1206,12.843
1207,15.591
1208,18.477
1209,18.896
1210,19.519
1211,21.552
1212,21.469
1213,20.809
1214,20.026
1215,18.492
1216,19.501
1217,20.722
1218,22.741
1219,22.782
1220,21.674
1221,21.25
1222,22.259
1223,20.112
1224,14.952
1225,10.795
1226,10.572
1227,9.807
1228,9.712
1229,10.604
1230,9.802
1231,13.499
1232,17.63
1233,18.986
1234,18.393
1235,18.002
1236,17.98
1237,17.5
1238,17.443
1239,15.801
1240,15.243
1241,16.094
1242,19.531
1243,21.826
1244,24.142
1245,23.169
1246,23.281
1247,23.137
1248,22.383
1249,19.318
1250,17.356
1251,16.085
1252,15.296
1253,15.746
1254,15.175
1255,15.805
1256,17.727
1257,20.636
1258,23.309
1259,24.546
1260,23.778
1261,23.098
1262,21.551
1263,20.572
1264,19.359
1265,19.332
1266,19.112
1267,19.35
1268,17.791
1269,19.183
1270,17.625
1271,18.267
1272,17.346
1273,13.276
1274,10.165
1275,6.575
1276,5.923
1277,7.117
1278,5.224
1279,9.005
1280,9.982
1281,10.593
1282,13.108
1283,15.352
1284,15.988
1285,17.55
1286,14.858
1287,13.852
1288,14.766
1289,14.626
1290,17.068
1291,18.504
1292,19.843
1293,17.507
1294,20.012
1295,20.8
1296,16.409
1297,13.737
1298,15.206
1299,14.713
1300,11.208
1301,13.043
1302,13.112
1303,15.337
1304,20.079
1305,23.264
1306,23.279
1307,25.397
1308,24.767
1309,23.299
1310,22.481
1311,22.177
1312,21.677
1313,22.782
1314,24.301
1315,23.469
1316,23.308
1317,21.53
1318,21.285
1319,20.774
1320,20.457
1321,17.519
1322,15.207
1323,15.495
1324,14.641
1325,14.064
1326,14.118
1327,16.928
1328,22.099
1329,24.044
1330,21.84
1331,22.044
1332,20.537
1333,17.335
1334,17.143
1335,16.807
1336,17.68
1337,18.864
1338,20.433
1339,20.814
1340,22.535
1341,19.005
1342,20.472
1343,22.831
1344,20.491
1345,17.32
1346,15.803
1347,14.657
1348,15.315
1349,14.386
1350,14.085
1351,17.166
1352,21.181
1353,23.716
1354,23.639
1355,25.288
1356,23.052
1357,23.571
1358,24.296
1359,24.484
1360,25.293
1361,26.739
1362,29.235
1363,28.445
1364,28.846
1365,27.118
1366,25.583
1367,24.91
1368,17.742
1369,15.145
1370,12.625
1371,11.945
1372,9.199
1373,10.538
1374,12.745
1375,15.227
1376,18.619
1377,19.06
1378,18.532
1379,19.303
1380,20.06
1381,18.811
1382,17.462
1383,16.598
1384,16.968
1385,18.554
1386,20.514
1387,19.999
1388,19.002
1389,19.046
1390,19.752
1391,22.5
1392,19.63
1393,15.476
1394,12.549
1395,13.402
1396,14.641
1397,14.196
1398,14.403
1399,17.729
1400,23.006
1401,24.873
1402,25.036
1403,25.546
1404,25.165
1405,24.665
1406,23.074
1407,21.206
1408,17.457
1409,18.662
1410,19.739
1411,21.93
1412,21.425
1413,21.519
1414,19.35
1415,21.343
1416,21.624
1417,18.402
1418,14.529
1419,13.04
1420,12.009
1421,13.123
1422,11.843
1423,12.689
1424,13.931
1425,13.404
1426,15.12
1427,16.318
1428,16.099
1429,17.868
1430,17.06
1431,16.91
1432,16.863
1433,18.248
1434,19.113
1435,20.579
1436,22.078
1437,20.235
1438,21.406
1439,20.014
1440,20.167
1441,18.797
1442,16.597
1443,14.415
1444,13.562
1445,14.229
1446,13.943
1447,14.737
1448,16.274
1449,17.74
1450,14.426
1451,15.75
1452,17.282
1453,16.47
1454,14.435
1455,13.156
1456,13.032
1457,14.046
1458,15.771
1459,16.334
1460,17.145
1461,17.466
1462,16.115
1463,15.546
1464,18.245
1465,14.029
1466,10.587
1467,11.516
1468,8.034
1469,7.171
1470,8.703
1471,10.712
1472,15.286
1473,17.659
1474,15.898
1475,17.994
1476,17.261
1477,19.623
1478,17.239
1479,14.927
1480,15.757
1481,18.611
1482,20.608
1483,22.822
1484,23.36
1485,23.456
1486,23.913
1487,17.531
1488,16.297
1489,12.029
1490,9.198
1491,9.126
1492,8.915
1493,8.037
1494,9.136
1495,13.071
1496,18.501
1497,21.074
1498,18.942
1499,19.455
1500,19.282
1501,18.827
1502,18.008
1503,17.316
1504,15.926
1505,17.042
1506,18.19
1507,18.507
1508,19.699
1509,19.639
1510,19.497
1511,20.267
1512,18.955
1513,16.206
1514,14.102
1515,15.069
1516,12.431
1517,14.943
1518,12.767
1519,15.109
1520,20.49
1521,20.766
1522,22.173
1523,22.945
1524,22.067
1525,22.542
1526,20.121
1527,19.684
1528,17.11
1529,21.192
1530,21.257
1531,20.985
1532,22.775
1533,22.973
1534,23.853
1535,23.057
1536,23.22
1537,20.32
1538,18.324
1539,17.659
1540,16.287
1541,15.691
1542,15.258
1543,18.011
1544,22.512
1545,24.125
1546,26.343
1547,26.17
1548,26.561
1549,25.187
1550,26.315
1551,25.042
1552,24.403
1553,25.085
1554,26.523
1555,27.874
1556,27.802
1557,25.281
1558,25.401
1559,24.709
1560,22.905
1561,20.481
1562,18.4
1563,17.414
1564,16.252
1565,16.008
1566,15.465
1567,17.499
1568,22.225
1569,25.588
1570,23.419
1571,19.451
1572,25.311
1573,24.067
1574,22.727
1575,17.72
1576,19.269
1577,16.018
1578,15.257
1579,14.178
1580,16.068
1581,12.289
1582,9.697
1583,12.266
1584,13.719
1585,8.393
1586,5.872
1587,1.964
1588,0.772
1589,0.747
1590,0.663
1591,0.156
1592,2.1
1593,5.371
1594,8.773
1595,14.231
1596,14.294
1597,13.436
1598,10.699
1599,9.004
1600,7.409
1601,7.815
1602,8.839
1603,9.099
1604,9.347
1605,7.858
1606,7.431
1607,7.362
1608,7.749
1609,4.408
1610,4.191
1611,1.92
1612,1.224
1613,0.4
1614,0.061
1615,2.476
1616,9.785
1617,8.259
1618,11.072
1619,13.884
1620,15.266
1621,10.863
1622,12.488
1623,10.285
1624,12.052
1625,14.558
1626,15.755
1627,15.271
1628,16.134
1629,17.057
1630,18.339
1631,16.849
1632,16.481
1633,15.228
1634,13.996
1635,13.801
1636,13.91
1637,13.322
1638,14.052
1639,16.922
1640,22.466
1641,24.704
1642,25.783
1643,27.132
1644,27.148
1645,26.95
1646,26.114
1647,25.71
1648,25.63
1649,26.954
1650,28.915
1651,28.304
1652,28.173
1653,26.753
1654,26.052
1655,24.676
1656,22.68
1657,19.614
1658,18.045
1659,17.776
1660,17.385
1661,16.531
1662,16.24
1663,18.798
1664,23.56
1665,25.72
1666,25.378
1667,26.012
1668,25.398
1669,25.387
1670,24.436
1671,23.894
1672,23.832
1673,25.311
1674,26.995
1675,26.46
1676,25.695
1677,24.816
1678,23.672
1679,22.554
1680,20.145
1681,17.047
1682,15.658
1683,14.584
1684,14.059
1685,13.456
1686,13.877
1687,16.716
1688,21.991
1689,24.705
1690,24.838
1691,25.026
1692,24.552
1693,24.157
1694,22.964
1695,22.482
1696,22.484
1697,23.296
1698,24.98
1699,24.7
1700,24.814
1701,23.996
1702,23.05
1703,21.526
1704,20.084
1705,16.71
1706,15.308
1707,14.908
1708,14.388
1709,14.453
1710,14.875
1711,17.268
1712,22.26
1713,24.73
1714,24.82
1715,25.165
1716,24.652
1717,24.701
1718,23.482
1719,22.85
1720,22.83
1721,24.484
1722,25.629
1723,25.255
1724,25.099
1725,23.451
1726,22.589
1727,20.121
1728,20.684
1729,18.135
1730,16.036
1731,15.579
1732,14.888
1733,14.238
1734,13.668
1735,16.253
1736,20.978
1737,23.915
1738,24.606
1739,24.879
1740,23.922
1741,22.997
1742,22.763
1743,21.97
1744,22.09
1745,22.94
1746,24.148
1747,24.245
1748,23.702
1749,21.823
1750,20.487
1751,18.823
1752,18.997
1753,15.348
1754,12.166
1755,12.378
1756,11.325
1757,10.724
1758,11.02
1759,11.74
1760,14.15
1761,17.586
1762,20.335
1763,22.305
1764,22.378
1765,21.891
1766,21.404
1767,20.986
1768,19.95
1769,20.445
1770,20.101
1771,20.263
1772,21.235
1773,19.717
1774,19.564
1775,19.969
1776,19.621
1777,16.796
1778,14.824
1779,13.286
1780,11.848
1781,10.645
1782,11.556
1783,11.783
1784,12.814
1785,14.668
1786,18.193
1787,20.193
1788,22.15
1789,23.567
1790,23.281
1791,22.253
1792,22.144
1793,22.997
1794,23.992
1795,23.794
1796,23.776
1797,22.991
1798,22.24
1799,21.126
1800,19.023
1801,14.31
1802,12.336
1803,12.833
1804,13.275
1805,12.659
1806,12.303
1807,14.956
1808,20.744
1809,24.266
1810,24.654
1811,25.945
1812,25.738
1813,25.394
1814,24.907
1815,23.924
1816,23.9
1817,25.951
1818,27.633
1819,28.003
1820,28.645
1821,26.764
1822,25.862
1823,24.859
1824,22.422
1825,19.21
1826,17.358
1827,16.911
1828,16.208
1829,15.96
1830,15.43
1831,18.05
1832,22.007
1833,25.233
1834,25.451
